num_rats,num_births,num_deaths,num_pregs
150,0,0,0
147,0,3,0
147,0,3,0
147,0,3,0
147,0,3,0
147,0,3,0
147,0,3,0
147,0,3,0
146,0,4,0
146,0,4,0
146,0,4,0
146,0,4,0
146,0,4,0
146,0,4,0
146,0,4,0
146,0,4,0
145,0,5,0
145,0,5,0
145,0,5,0
145,0,5,0
145,0,5,0
145,0,5,0
145,0,5,0
145,0,5,0
145,0,5,0
145,0,5,0
145,0,5,0
145,0,5,0
145,0,5,0
145,0,5,0
145,0,5,0
145,0,5,0
145,0,5,0
145,0,5,0
145,0,5,0
145,0,5,0
145,0,5,0
145,0,5,0
145,0,5,0
145,0,5,0
145,0,5,0
145,0,5,0
145,0,5,0
145,0,5,0
145,0,5,0
145,0,5,0
145,0,5,0
145,0,5,0
145,0,5,0
145,0,5,0
145,0,5,0
145,0,5,0
145,0,5,0
145,0,5,0
145,0,5,0
145,0,5,0
144,0,6,0
144,0,6,0
144,0,6,0
144,0,6,0
144,0,6,0
144,0,6,0
144,0,6,0
144,0,6,0
144,0,6,0
144,0,6,0
144,0,6,0
144,0,6,0
144,0,6,0
144,0,6,0
144,0,6,0
144,0,6,0
144,0,6,0
144,0,6,0
144,0,6,0
144,0,6,0
143,0,7,0
143,0,7,0
143,0,7,0
142,0,8,0
142,0,8,0
142,0,8,0
142,0,8,0
142,0,8,0
141,0,9,0
141,0,9,0
141,0,9,0
141,0,9,0
140,0,10,0
140,0,10,0
140,0,10,0
140,0,10,0
139,0,11,0
139,0,11,0
139,0,11,0
139,0,11,0
139,0,11,0
139,0,11,0
139,0,11,0
139,0,11,0
139,0,11,0
139,0,11,0
139,0,11,0
139,0,11,0
139,0,11,0
139,0,11,0
139,0,11,0
139,0,11,0
139,0,11,0
139,0,11,0
139,0,11,0
139,0,11,0
139,0,11,0
139,0,11,0
139,0,11,0
139,0,11,0
139,0,11,0
139,0,11,0
139,0,11,0
139,0,11,0
139,0,11,0
139,0,11,0
139,0,11,0
139,0,11,0
139,0,11,0
139,0,11,0
139,0,11,0
139,0,11,0
139,0,11,0
139,0,11,0
139,0,11,0
139,0,11,0
138,0,12,0
138,0,12,0
138,0,12,0
138,0,12,0
138,0,12,0
138,0,12,0
138,0,12,0
138,0,12,0
138,0,12,0
137,0,13,-1
137,0,13,-1
137,0,13,-1
137,0,13,-1
137,0,13,-1
137,0,13,-1
137,0,13,-1
137,0,13,-1
137,0,13,-1
136,0,14,-1
136,0,14,-1
136,0,14,-1
136,0,14,-1
136,0,14,-1
136,0,14,-1
136,0,14,-1
136,0,14,-1
136,0,14,-1
136,0,14,-1
136,0,14,-1
135,0,15,-1
135,0,15,-1
135,0,15,-1
135,0,15,-1
135,0,15,-1
135,0,15,-1
135,0,15,-1
135,0,15,-1
135,0,15,-1
135,0,15,-1
135,0,15,-1
